iter	Passed	Remaining
0	1	115
1	2	131
2	4	141
3	6	144
4	8	153
5	10	159
6	12	162
7	14	166
8	15	161
9	17	158
10	19	160
11	21	160
12	23	160
13	25	159
14	28	159
15	29	154
16	31	152
17	33	151
18	35	150
19	37	149
20	39	148
21	41	146
22	42	143
23	43	138
24	45	135
25	46	132
26	48	130
27	49	128
28	51	127
29	53	125
30	55	124
31	57	122
32	59	121
33	61	118
34	62	116
35	64	114
36	65	111
37	66	108
38	68	106
39	69	104
40	72	103
41	73	100
42	74	99
43	76	97
44	78	96
45	80	94
46	82	92
47	83	90
48	84	87
49	86	86
50	87	84
51	89	82
52	91	80
53	92	78
54	93	76
55	95	75
56	97	73
57	98	71
58	99	69
59	100	67
60	102	65
61	104	64
62	106	62
63	108	60
64	109	59
65	111	57
66	112	55
67	114	53
68	116	52
69	117	50
70	118	48
71	120	46
72	121	44
73	122	42
74	123	41
75	123	39
76	124	37
77	126	35
78	127	33
79	129	32
80	131	30
81	132	29
82	133	27
83	135	25
84	136	24
85	138	22
86	139	20
87	140	19
88	141	17
89	143	15
90	144	14
91	146	12
92	147	11
93	148	9
94	149	7
95	150	6
96	151	4
97	152	3
98	153	1
99	154	0
