iter	Passed	Remaining
0	139	139513
1	140	70209
2	141	47139
3	143	35620
4	144	28767
5	145	24158
6	155	22050
7	156	19417
8	158	17439
9	159	15786
10	160	14449
11	162	13371
12	164	12457
13	165	11672
14	167	10987
15	169	10423
16	170	9862
17	171	9356
18	172	8905
19	173	8496
20	174	8122
21	175	7784
22	179	7607
23	181	7391
24	182	7134
25	184	6905
26	185	6683
27	186	6470
28	187	6267
29	188	6081
30	189	5917
31	191	5805
32	193	5674
33	197	5621
34	198	5485
35	200	5359
36	201	5235
37	202	5117
38	203	5005
39	203	4895
40	207	4843
41	209	4784
42	211	4712
43	212	4627
44	214	4548
45	215	4465
46	216	4384
47	217	4305
48	217	4229
49	222	4221
50	224	4176
51	225	4115
52	226	4054
53	228	3996
54	229	3937
55	229	3877
56	230	3819
57	231	3765
58	232	3712
59	235	3683
60	236	3643
61	239	3621
62	240	3577
63	241	3530
64	242	3485
65	243	3442
66	244	3399
67	244	3357
68	245	3316
69	246	3278
70	248	3256
71	252	3257
72	254	3236
73	255	3201
74	256	3168
75	257	3133
76	258	3099
77	259	3065
78	260	3034
79	261	3006
80	264	2999
81	266	2981
82	268	2960
83	269	2939
84	270	2913
85	271	2888
86	272	2863
87	273	2837
88	274	2813
89	275	2788
90	279	2789
91	281	2782
92	283	2762
93	284	2744
94	285	2722
95	286	2699
96	287	2676
97	288	2654
98	289	2632
99	290	2611
100	291	2598
101	293	2585
102	295	2575
103	296	2556
104	297	2537
105	298	2517
106	299	2500
107	300	2481
108	301	2467
109	302	2450
110	303	2434
111	306	2427
112	307	2416
113	310	2409
114	311	2394
115	312	2378
116	312	2361
117	313	2346
118	314	2331
119	315	2316
120	316	2301
121	317	2284
122	318	2274
123	322	2276
124	323	2265
125	325	2258
126	326	2243
127	327	2229
128	328	2217
129	329	2205
130	330	2192
131	331	2179
132	332	2170
133	335	2167
134	337	2162
135	340	2160
136	341	2149
137	342	2137
138	343	2126
139	344	2116
140	345	2104
141	346	2091
142	347	2080
143	348	2069
144	351	2072
145	353	2068
146	355	2061
147	356	2052
148	357	2043
149	359	2034
150	360	2025
151	361	2015
152	362	2005
153	363	1998
154	367	2001
155	369	1997
156	370	1991
157	372	1983
158	373	1975
159	374	1967
160	375	1956
161	378	1955
162	381	1958
163	384	1958
164	385	1953
165	387	1946
166	388	1939
167	390	1931
168	391	1925
169	396	1934
170	398	1934
171	400	1929
172	402	1923
173	403	1916
174	404	1908
175	405	1900
176	407	1893
177	411	1901
178	414	1899
179	415	1894
180	417	1889
181	418	1882
182	420	1875
183	421	1867
184	425	1874
185	429	1878
186	430	1872
187	432	1867
188	433	1860
189	434	1853
190	435	1845
191	436	1838
192	441	1844
193	444	1846
194	445	1840
195	447	1835
196	448	1829
197	450	1824
198	451	1817
199	452	1810
200	455	1812
201	457	1808
202	459	1802
203	460	1796
204	461	1789
205	462	1782
206	463	1776
207	464	1770
208	465	1763
209	467	1757
210	470	1760
211	472	1757
212	474	1751
213	475	1746
214	476	1741
215	478	1735
216	479	1730
217	480	1725
218	482	1720
219	485	1721
220	487	1717
221	488	1712
222	489	1706
223	491	1701
224	492	1695
225	493	1691
226	495	1686
227	496	1681
228	498	1678
229	500	1676
230	502	1671
231	503	1665
232	504	1660
233	505	1655
234	507	1650
235	508	1645
236	509	1640
237	512	1641
238	515	1640
239	517	1638
240	518	1633
241	519	1628
242	521	1624
243	522	1620
244	524	1617
245	529	1622
246	530	1617
247	532	1613
248	533	1608
249	534	1604
250	535	1599
251	539	1600
252	541	1597
253	542	1594
254	545	1594
255	547	1590
256	548	1585
257	549	1580
258	550	1575
259	551	1570
260	552	1565
261	553	1559
262	554	1554
263	558	1557
264	560	1553
265	561	1548
266	563	1546
267	564	1543
268	566	1538
269	567	1534
270	568	1529
271	572	1531
272	573	1527
273	575	1526
274	577	1521
275	578	1517
276	579	1512
277	580	1508
278	582	1504
279	583	1499
280	584	1494
281	587	1494
282	588	1492
283	590	1487
284	591	1484
285	593	1480
286	594	1476
287	595	1472
288	596	1467
289	598	1464
290	601	1466
291	603	1464
292	605	1461
293	606	1457
294	608	1453
295	609	1449
296	611	1446
297	612	1442
298	614	1439
299	617	1440
300	620	1441
301	622	1439
302	624	1436
303	626	1434
304	627	1430
305	628	1426
306	633	1429
307	635	1427
308	636	1424
309	638	1420
310	640	1418
311	641	1414
312	643	1411
313	647	1414
314	649	1412
315	652	1411
316	653	1408
317	654	1404
318	656	1400
319	657	1396
320	658	1393
321	662	1394
322	664	1392
323	665	1389
324	667	1386
325	669	1385
326	671	1381
327	672	1378
328	674	1374
329	677	1376
330	679	1373
331	681	1370
332	682	1366
333	683	1363
334	684	1359
335	686	1355
336	687	1352
337	689	1350
338	692	1350
339	693	1346
340	695	1343
341	696	1339
342	697	1335
343	699	1334
344	701	1332
345	703	1329
346	706	1328
347	709	1328
348	710	1324
349	711	1321
350	712	1317
351	714	1315
352	716	1312
353	717	1310
354	721	1310
355	723	1309
356	725	1306
357	726	1303
358	727	1299
359	729	1296
360	730	1293
361	732	1290
362	733	1287
363	735	1285
364	739	1286
365	741	1284
366	742	1281
367	744	1278
368	745	1274
369	748	1274
370	751	1273
371	754	1272
372	755	1270
373	757	1267
374	758	1263
375	759	1260
376	760	1256
377	761	1253
378	764	1252
379	766	1249
380	767	1246
381	768	1243
382	769	1240
383	771	1237
384	772	1234
385	775	1233
386	777	1230
387	780	1230
388	782	1229
389	784	1226
390	785	1223
391	786	1220
392	787	1217
393	789	1213
394	790	1210
395	791	1207
396	797	1210
397	798	1208
398	800	1205
399	802	1203
400	803	1200
401	804	1197
402	806	1194
403	807	1191
404	809	1189
405	811	1187
406	812	1184
407	813	1180
408	814	1177
409	816	1174
410	817	1171
411	818	1167
412	819	1164
413	820	1161
414	821	1158
415	825	1158
416	826	1155
417	828	1152
418	829	1149
419	830	1146
420	831	1143
421	832	1139
422	833	1136
423	834	1133
424	835	1130
425	841	1133
426	842	1130
427	843	1127
428	844	1124
429	845	1121
430	846	1117
431	847	1114
432	848	1111
433	849	1108
434	850	1105
435	853	1103
436	854	1101
437	858	1101
438	859	1098
439	861	1096
440	862	1093
441	864	1090
442	865	1088
443	869	1089
444	872	1087
445	873	1084
446	874	1082
447	875	1079
448	876	1076
449	877	1072
450	878	1069
451	880	1067
452	884	1067
453	887	1067
454	888	1064
455	890	1062
456	891	1059
457	893	1056
458	894	1054
459	896	1051
460	899	1051
461	900	1049
462	903	1047
463	904	1044
464	905	1041
465	906	1038
466	908	1036
467	909	1033
468	910	1031
469	915	1032
470	917	1030
471	919	1028
472	920	1025
473	921	1022
474	922	1019
475	923	1016
476	925	1014
477	929	1015
478	932	1014
479	934	1012
480	936	1010
481	937	1007
482	938	1004
483	939	1001
484	946	1004
485	953	1008
486	954	1005
487	959	1006
488	962	1005
489	963	1003
490	969	1005
491	976	1008
492	979	1007
493	981	1005
494	982	1002
495	983	999
496	993	1005
497	997	1005
498	998	1002
499	1001	1001
500	1002	998
501	1012	1004
502	1014	1002
503	1016	1000
504	1018	998
505	1022	998
506	1025	997
507	1028	995
508	1033	996
509	1036	996
510	1040	995
511	1043	994
512	1048	995
513	1051	994
514	1053	992
515	1055	989
516	1056	987
517	1061	987
518	1065	987
519	1069	987
520	1071	984
521	1072	982
522	1075	980
523	1081	982
524	1083	980
525	1084	977
526	1087	976
527	1089	974
528	1093	973
529	1095	971
530	1098	970
531	1101	969
532	1103	967
533	1105	965
534	1107	962
535	1116	966
536	1118	964
537	1122	963
538	1126	963
539	1127	960
540	1129	958
541	1130	955
542	1133	953
543	1134	951
544	1139	951
545	1142	949
546	1147	950
547	1149	947
548	1150	945
549	1152	943
550	1158	944
551	1161	942
552	1168	944
553	1173	944
554	1177	943
555	1178	941
556	1184	941
557	1187	940
558	1191	940
559	1193	937
560	1194	935
561	1196	932
562	1198	929
563	1201	929
564	1204	927
565	1205	924
566	1208	923
567	1211	921
568	1213	919
569	1215	916
570	1218	915
571	1221	914
572	1223	911
573	1225	909
574	1226	906
575	1227	903
576	1229	901
577	1230	898
578	1233	896
579	1236	895
580	1238	893
581	1240	891
582	1241	888
583	1244	886
584	1245	883
585	1247	881
586	1250	879
587	1252	877
588	1253	875
589	1255	872
590	1257	869
591	1259	867
592	1263	866
593	1265	865
594	1267	862
595	1268	860
596	1271	858
597	1272	855
598	1274	853
599	1277	851
600	1279	849
601	1282	848
602	1284	845
603	1286	843
604	1288	840
605	1289	838
606	1291	836
607	1295	835
608	1297	833
609	1299	830
610	1301	828
611	1303	826
612	1304	823
613	1308	822
614	1311	821
615	1313	818
616	1316	816
617	1317	814
618	1318	811
619	1321	810
620	1324	808
621	1325	805
622	1327	803
623	1328	800
624	1330	798
625	1331	795
626	1332	792
627	1334	790
628	1341	790
629	1343	788
630	1345	786
631	1347	784
632	1348	781
633	1349	779
634	1352	777
635	1354	775
636	1357	773
637	1359	771
638	1360	768
639	1363	767
640	1365	764
641	1370	764
642	1373	762
643	1374	759
644	1376	757
645	1378	755
646	1379	752
647	1381	750
648	1386	749
649	1389	748
650	1391	746
651	1393	743
652	1395	741
653	1397	739
654	1400	737
655	1401	735
656	1402	732
657	1404	729
658	1405	727
659	1407	725
